,Team,Year,Week,Win,Team H/A/N,Opponent,Team Conference,Opponent Conference,Team YPPA 8 Game Avg,Team YPRA 8 Game Avg,Team TOP 8 Game Avg,Team TO 8 Game Avg,Team Points 8 Game Avg,Team Pen Yards 8 Game Avg,Opponent YPPA 8 Game Avg,Opponent YPRA 8 Game Avg,Opponent TOP 8 Game Avg,Opponent TO 8 Game Avg,Opponent Points 8 Game Avg,Opponent Pen Yards 8 Game Avg
1811,South Florida,2014,9,0,A,Cincinnati,AAC,AAC,6.61375,2.72875,1619.375,2.0,17.375,68.0,7.978750000000002,4.181250000000001,1627.25,1.5,32.125,43.75
1812,Tulane,2014,10,0,H,Cincinnati,AAC,AAC,5.788750000000001,4.853749999999998,1778.625,2.0,16.375,75.375,8.378750000000002,4.543750000000001,1650.125,1.625,34.75,43.75
1813,East Carolina,2014,12,0,A,Cincinnati,AAC,AAC,7.616249999999998,5.17875,1778.375,1.75,35.125,86.0,8.292500000000002,4.496250000000001,1683.875,2.125,34.25,48.0
1814,Connecticut,2014,13,0,H,Cincinnati,AAC,AAC,6.251250000000001,3.2375000000000003,1678.25,2.125,15.875,55.875,8.035000000000002,4.732500000000001,1741.0,2.0,35.5,47.375
1815,Temple,2014,14,0,H,Cincinnati,AAC,AAC,5.973749999999996,3.2475,1531.0,2.5,18.375,54.125,7.402500000000002,4.578750000000001,1807.25,2.125,33.75,44.875
1816,Houston,2014,15,0,A,Cincinnati,AAC,AAC,6.865000000000002,4.653749999999997,1893.625,1.5,28.25,50.125,7.750000000000001,4.535000000000001,1906.0,1.875,36.75,39.25
1817,Virginia Tech,2014,17,1,N,Cincinnati,ACC,AAC,5.957500000000001,3.2450000000000023,1800.625,1.75,20.5,47.0,8.175,4.791250000000001,1889.75,1.875,34.625,41.625
1818,Temple,2015,2,1,A,Cincinnati,AAC,AAC,5.202499999999995,3.43875,1649.875,2.375,15.0,65.625,7.960000000000002,4.6625000000000005,1860.25,2.5,32.75,39.375
1819,Miami OH,2015,3,0,H,Cincinnati,MAC,AAC,6.552500000000006,3.6562499999999996,1616.125,1.625,20.125,57.875,7.711250000000002,4.6325,1858.875,2.625,33.125,41.625
1820,Memphis,2015,4,1,H,Cincinnati,AAC,AAC,8.486249999999995,4.034999999999999,1744.5,1.5,41.625,56.125,7.8937500000000025,4.1450000000000005,1889.375,2.625,34.125,49.875
1821,Miami FL,2015,5,0,A,Cincinnati,ACC,AAC,8.291250000000005,4.5012500000000015,1894.5,1.125,29.125,60.0,7.738750000000003,4.190000000000001,1859.875,2.25,31.625,51.25
1822,BYU,2015,7,1,H,Cincinnati,Independent,AAC,7.488749999999998,3.441250000000003,1808.5,1.875,32.625,62.375,8.015000000000002,3.8700000000000014,1844.75,2.125,29.5,56.25
1823,Connecticut,2015,8,0,A,Cincinnati,AAC,AAC,7.102500000000001,3.7375,1871.875,1.75,19.0,47.125,8.481250000000003,4.291250000000002,1887.75,2.125,32.375,66.875
1824,UCF,2015,9,0,A,Cincinnati,AAC,AAC,5.266249999999997,2.1762499999999996,1570.25,2.5,14.0,47.625,9.246250000000003,4.5550000000000015,1890.75,2.25,34.125,73.375
1825,Houston,2015,10,1,H,Cincinnati,AAC,AAC,9.305,5.1999999999999975,1964.75,1.0,43.5,65.875,9.362500000000004,4.468750000000002,1841.125,2.25,35.75,74.875
1826,Tulsa,2015,11,0,A,Cincinnati,AAC,AAC,8.327500000000004,3.9975,1717.875,1.5,34.75,62.875,9.485000000000003,4.756250000000002,1860.375,2.0,38.625,77.0
1827,South Florida,2015,12,1,H,Cincinnati,AAC,AAC,9.4025,5.297500000000001,1650.25,1.375,34.5,50.5,9.478750000000003,4.450000000000003,1819.125,2.25,37.375,75.375
1828,East Carolina,2015,13,0,H,Cincinnati,AAC,AAC,7.3112499999999985,3.95375,1738.875,1.5,27.625,68.375,8.985000000000003,4.4475000000000025,1837.0,2.0,34.0,69.0
1829,San Diego State,2015,17,1,N,Cincinnati,MWC,AAC,9.778750000000002,5.3512499999999985,2040.0,0.375,38.625,54.0,8.743750000000002,4.135000000000003,1830.0,2.25,30.625,73.375
1830,Purdue,2016,2,0,H,Cincinnati,Big 10,AAC,5.570000000000001,3.3487500000000026,1671.625,2.25,22.375,48.125,8.832500000000003,4.518750000000003,1804.375,2.25,32.375,70.875
1831,Houston,2016,3,1,A,Cincinnati,AAC,AAC,7.13625,3.793749999999998,1923.625,1.375,34.0,46.0,8.552500000000002,3.9412500000000037,1723.625,2.5,29.75,59.625
1832,Miami OH,2016,4,0,A,Cincinnati,MAC,AAC,8.108750000000006,3.22625,1810.0,1.875,22.25,57.875,7.5500000000000025,3.7087500000000038,1752.375,2.75,26.625,59.375
1833,South Florida,2016,5,1,A,Cincinnati,AAC,AAC,9.019999999999998,6.213750000000001,1680.0,0.875,45.125,50.0,7.070000000000002,3.7137500000000037,1789.125,2.875,25.375,53.75
1834,Connecticut,2016,6,1,H,Cincinnati,AAC,AAC,6.813750000000002,2.95625,1843.0,1.25,16.0,38.25,6.625000000000003,2.913750000000004,1740.25,2.625,20.375,52.375
1835,East Carolina,2016,8,0,A,Cincinnati,AAC,AAC,7.33125,3.6937499999999996,1877.625,2.0,24.5,47.375,6.896250000000002,3.156250000000004,1730.125,1.875,20.875,57.375
1836,Temple,2016,9,1,H,Cincinnati,AAC,AAC,8.244999999999996,4.1975,2031.375,1.625,33.25,54.875,6.730000000000001,3.0812500000000043,1606.5,2.0,20.125,55.5
1837,BYU,2016,10,1,A,Cincinnati,Independent,AAC,6.051249999999999,4.637500000000004,1876.5,1.375,28.25,57.125,6.692500000000001,3.2600000000000042,1588.625,1.75,19.625,46.75
1838,UCF,2016,11,1,H,Cincinnati,AAC,AAC,6.984999999999998,3.5037499999999997,1613.625,1.625,32.25,58.875,6.371250000000001,2.918750000000004,1594.625,2.125,15.25,43.0
1839,Memphis,2016,12,1,A,Cincinnati,AAC,AAC,7.8637499999999925,4.456249999999999,1614.0,1.875,33.875,51.25,6.013750000000001,3.126250000000004,1631.25,2.125,14.125,47.625
1840,Tulsa,2016,13,1,H,Cincinnati,AAC,AAC,7.982500000000009,5.390000000000001,1835.5,1.375,42.875,57.125,6.422500000000001,3.161250000000004,1548.125,1.75,15.375,45.5
1841,Michigan,2017,2,1,H,Cincinnati,Big 10,AAC,7.26375,4.133749999999997,1906.75,1.375,31.5,53.875,6.033750000000001,2.9812500000000037,1564.625,1.5,14.625,44.25
1842,Miami OH,2017,3,0,H,Cincinnati,MAC,AAC,8.108750000000008,4.149999999999999,2005.125,1.0,27.5,46.375,5.9750000000000005,3.4662500000000036,1608.5,1.625,16.125,44.125
1843,Navy,2017,4,1,H,Cincinnati,AAC,AAC,13.147499999999999,6.173749999999998,1846.625,1.625,40.0,30.625,5.922500000000001,3.1925000000000034,1559.5,1.75,16.25,41.375
1844,Marshall,2017,5,1,A,Cincinnati,CUSA,AAC,6.2225,3.5362499999999994,1858.0,1.25,23.25,63.5,5.957500000000001,3.475000000000003,1568.5,1.875,17.25,46.75
1845,UCF,2017,6,1,A,Cincinnati,AAC,AAC,8.443749999999996,4.00625,1740.25,1.375,34.75,62.75,6.048750000000002,3.5387500000000034,1622.0,1.875,19.75,51.0
1846,South Florida,2017,7,1,H,Cincinnati,AAC,AAC,8.134999999999998,5.602500000000001,1872.25,1.125,44.375,84.5,5.995000000000002,3.5275000000000034,1610.25,1.75,19.75,61.375
1847,SMU,2017,8,1,A,Cincinnati,AAC,AAC,8.248750000000005,4.1112500000000045,1906.875,1.375,36.75,60.0,6.1400000000000015,3.9112500000000034,1634.0,1.625,22.375,60.625
1848,Tulane,2017,10,0,H,Cincinnati,AAC,AAC,6.991250000000002,4.839999999999995,1912.875,0.75,24.75,44.0,5.972500000000001,4.146250000000003,1668.625,1.625,19.875,70.625
1849,Temple,2017,11,1,A,Cincinnati,AAC,AAC,7.241249999999997,3.685,1837.625,1.875,25.5,66.875,6.306250000000001,4.520000000000002,1654.875,1.5,21.125,80.25
1850,East Carolina,2017,12,1,H,Cincinnati,AAC,AAC,7.51125,3.31125,1884.75,1.125,29.375,53.375,6.496250000000002,4.583750000000002,1624.75,1.375,21.0,84.5
1851,Connecticut,2017,13,0,A,Cincinnati,AAC,AAC,6.408750000000005,3.7150000000000003,1936.0,1.875,20.0,57.625,6.350000000000001,4.922500000000002,1603.625,1.375,19.75,82.5
1852,UCLA,2018,1,0,H,Cincinnati,PAC 12,AAC,7.535000000000002,3.4887499999999996,1581.5,1.125,25.25,58.5,6.292500000000002,4.7337500000000015,1705.125,1.125,20.375,78.375
1853,Miami OH,2018,2,0,H,Cincinnati,MAC,AAC,6.701250000000009,4.09125,1726.75,1.125,21.25,60.375,5.935000000000002,4.651250000000001,1732.625,1.0,20.125,79.875
1854,Ohio,2018,4,0,A,Cincinnati,MAC,AAC,7.862500000000008,5.767500000000002,1929.25,1.625,36.375,46.75,6.438750000000002,4.8425,1696.0,0.875,24.0,86.375
1855,Connecticut,2018,5,0,H,Cincinnati,AAC,AAC,5.787500000000006,4.39,1874.5,2.375,16.5,52.75,7.225000000000002,4.85625,1748.5,0.75,26.625,94.75
1856,Tulane,2018,6,0,A,Cincinnati,AAC,AAC,7.8362500000000015,4.182499999999996,1925.0,1.25,24.875,62.5,6.946250000000003,4.822500000000001,1767.5,1.125,29.125,87.5
1857,Temple,2018,8,1,H,Cincinnati,AAC,AAC,7.542499999999998,3.8737500000000002,1720.5,2.0,31.875,67.125,6.607500000000003,4.697500000000001,1794.5,1.375,28.25,82.25
1858,SMU,2018,9,0,H,Cincinnati,AAC,AAC,6.122500000000005,2.5362500000000034,1546.75,1.625,20.375,43.625,6.6525000000000025,4.53875,1859.625,1.625,29.0,77.375
1859,Navy,2018,10,0,A,Cincinnati,AAC,AAC,6.844999999999996,4.581249999999999,2025.625,1.125,21.875,26.5,6.945000000000002,4.68375,1928.875,1.5,31.5,75.625
1860,South Florida,2018,11,0,A,Cincinnati,AAC,AAC,7.9987499999999985,5.348750000000001,1626.625,1.75,30.125,84.125,7.426250000000001,4.78125,1949.5,1.625,32.625,72.75
1861,UCF,2018,12,1,H,Cincinnati,AAC,AAC,8.417499999999997,5.387499999999999,1573.75,0.625,42.75,67.25,7.525,4.8925,1982.125,2.0,31.625,70.75
1862,East Carolina,2018,13,0,A,Cincinnati,AAC,AAC,6.368750000000001,3.5587499999999994,1759.375,2.25,24.125,54.0,7.651249999999999,5.1537500000000005,2066.0,2.0,34.375,63.25
1863,Virginia Tech,2018,17,0,N,Cincinnati,ACC,AAC,7.380000000000001,4.21125,1756.5,1.5,26.625,59.625,6.994999999999999,5.2875000000000005,2006.0,2.0,32.625,61.125
1864,Troy,2011,1,0,A,Clemson,Sun Belt,ACC,6.14,4.58,1930.0,3.0,19.0,61.0,8.74,5.18,1670.0,1.0,43.0,10.0
1865,Auburn,2011,3,0,A,Clemson,SEC,ACC,8.729999999999999,5.123333333333334,1399.0,0.6666666666666666,35.666666666666664,61.666666666666664,8.965,4.97,1922.5,1.0,40.5,30.0
1866,Florida State,2011,4,0,A,Clemson,ACC,ACC,7.760000000000001,2.0866666666666664,1724.6666666666667,1.6666666666666667,25.666666666666668,71.0,9.253333333333332,3.973333333333333,1991.6666666666667,1.0,38.666666666666664,36.666666666666664
1867,Virginia Tech,2011,5,0,H,Clemson,ACC,ACC,6.2425,4.1925,2174.0,2.0,19.0,61.0,8.535,3.83,1871.0,1.0,34.75,42.75
1868,Boston College,2011,6,0,A,Clemson,ACC,ACC,5.840000000000001,3.428,1708.2,1.4,14.4,46.2,8.558,3.942,1831.6,0.8,35.0,38.2
1869,Maryland,2011,7,0,H,Clemson,ACC,ACC,5.485999999999999,4.766,1531.8,1.6,26.2,39.0,8.316666666666666,4.5,1838.3333333333333,1.0,38.5,38.5
1870,North Carolina,2011,8,0,A,Clemson,ACC,ACC,9.13142857142857,4.291428571428572,1715.2857142857142,2.4285714285714284,27.285714285714285,48.142857142857146,8.23857142857143,4.162857142857143,1841.142857142857,1.0,41.42857142857143,37.57142857142857
1871,Georgia Tech,2011,9,1,H,Clemson,ACC,ACC,11.040000000000001,5.9,1981.25,1.5,34.375,33.375,8.135,4.1375,1768.5,1.375,38.375,36.625
1872,Wake Forest,2011,11,0,A,Clemson,ACC,ACC,7.529999999999999,3.32625,1688.75,1.125,25.75,37.0,8.0175,4.0225,1783.75,1.625,36.875,42.625
1873,NC State,2011,12,1,H,Clemson,ACC,ACC,6.28,2.51125,1902.25,1.5,21.875,34.25,7.7925,3.5787500000000003,1688.25,2.0,33.75,41.625
1874,South Carolina,2011,13,1,H,Clemson,SEC,ACC,6.875,3.89125,1982.0,2.375,24.375,48.25,6.91,3.6225,1592.375,2.0,31.0,38.5
1875,Virginia Tech,2011,14,0,N,Clemson,ACC,ACC,9.085,4.407500000000001,1962.75,1.25,28.625,50.25,7.1125,3.8,1630.0,1.875,32.875,35.25
1876,West Virginia,2011,17,1,N,Clemson,Big East,ACC,8.28875,3.4962500000000016,1734.0,1.875,35.875,55.75,6.69625,4.145,1593.875,2.375,32.5,40.875
1877,Auburn,2012,1,0,N,Clemson,SEC,ACC,6.706249999999997,4.02125,1722.375,1.75,20.625,51.5,6.55,4.0024999999999995,1598.0,2.25,28.75,39.625
1878,Ball State,2012,2,0,A,Clemson,MAC,ACC,6.41375,5.005000000000001,1696.875,1.375,31.5,40.125,6.635,4.21625,1600.5,2.125,27.875,43.5
1879,Florida State,2012,4,1,H,Clemson,ACC,ACC,8.457500000000001,4.00375,1832.5,1.0,31.0,60.625,6.63875,4.168749999999999,1646.25,1.75,30.375,43.5
1880,Boston College,2012,5,0,H,Clemson,ACC,ACC,7.13125,2.8124999999999996,1875.625,2.0,20.375,34.75,6.87125,4.203749999999999,1638.125,1.625,32.125,43.0
1881,Georgia Tech,2012,6,0,A,Clemson,ACC,ACC,10.126250000000002,5.74125,1890.375,1.5,31.25,40.625,7.12875,4.552499999999999,1701.875,1.375,36.375,39.625
1882,Virginia Tech,2012,8,0,A,Clemson,ACC,ACC,7.62125,3.9250000000000016,1794.75,2.125,26.25,53.875,7.735,4.6362499999999995,1726.875,1.375,39.5,41.375
1883,Wake Forest,2012,9,0,H,Clemson,ACC,ACC,5.948749999999999,3.0200000000000014,1760.625,1.0,20.5,34.875,8.088750000000001,4.31375,1733.375,1.375,40.0,46.875
1884,Duke,2012,10,0,H,Clemson,ACC,ACC,6.393750000000003,3.0687499999999996,1955.5,1.75,25.875,54.5,9.057500000000001,4.235,1761.875,1.375,42.875,46.875
1885,Maryland,2012,11,0,A,Clemson,ACC,ACC,7.058749999999996,2.2762500000000006,1908.75,2.375,18.25,38.75,9.42125,3.8675000000000006,1734.125,1.625,45.25,43.75
1886,NC State,2012,12,0,A,Clemson,ACC,ACC,7.135000000000002,2.4274999999999993,1793.125,2.625,26.25,49.875,9.575000000000001,4.093750000000001,1749.125,1.875,46.5,40.875
1887,South Carolina,2012,13,1,A,Clemson,SEC,ACC,9.201250000000002,2.97875,1887.875,1.5,29.875,43.5,9.59875,4.163750000000001,1696.125,2.0,44.0,44.5
1888,LSU,2012,17,0,N,Clemson,SEC,ACC,6.6274999999999995,3.438750000000001,1850.75,1.125,24.0,58.5,9.256250000000001,3.843750000000001,1752.875,2.0,41.5,43.625
1889,Georgia,2013,1,0,A,Clemson,SEC,ACC,10.404999999999998,4.371249999999998,1708.125,1.25,33.875,65.0,9.200000000000001,3.878750000000001,1720.5,1.875,40.375,46.5
1890,NC State,2013,4,0,H,Clemson,ACC,ACC,7.171250000000002,2.8824999999999994,1883.0,2.75,28.875,45.0,9.071250000000001,4.038750000000001,1729.0,1.75,38.875,47.25
1891,Wake Forest,2013,5,0,A,Clemson,ACC,ACC,5.581249999999998,2.3462500000000017,1743.0,1.75,14.5,48.0,9.131250000000001,4.200000000000001,1723.375,1.75,40.625,42.375
1892,Syracuse,2013,6,0,H,Clemson,ACC,ACC,6.994999999999997,4.605000000000001,1776.75,2.0,32.75,61.5,9.270000000000003,3.8287500000000008,1738.25,1.5,39.75,38.0
1893,Boston College,2013,7,0,A,Clemson,ACC,ACC,7.071249999999997,4.4437500000000005,1692.5,1.375,20.75,31.75,9.091250000000004,3.9750000000000005,1742.75,1.375,37.125,41.75
1894,Florida State,2013,8,1,A,Clemson,ACC,ACC,9.89125,5.2425,1844.0,1.5,42.875,55.5,8.445000000000004,3.6425000000000005,1677.875,1.625,31.125,48.75
1895,Maryland,2013,9,0,H,Clemson,ACC,ACC,8.026249999999996,3.6950000000000007,1775.625,2.375,26.75,40.0,8.417500000000004,3.6425,1777.125,1.75,34.0,45.125
1896,Virginia,2013,10,0,H,Clemson,ACC,ACC,4.798750000000003,3.2650000000000015,1999.375,2.125,17.75,52.5,8.761250000000004,3.90375,1718.25,1.625,38.25,42.375
1897,Georgia Tech,2013,12,0,A,Clemson,ACC,ACC,8.868750000000002,5.222499999999998,2054.125,2.375,28.875,48.0,9.232500000000003,3.9362500000000002,1702.0,1.625,40.375,45.75
1898,South Carolina,2013,14,1,H,Clemson,SEC,ACC,7.949999999999999,4.26375,1945.75,1.375,30.875,44.625,9.413750000000004,3.9487500000000004,1662.0,2.375,39.25,46.625
1899,Ohio State,2013,17,0,N,Clemson,Big 10,ACC,8.065000000000005,7.452499999999999,1836.875,1.375,44.5,42.5,9.181250000000004,4.195,1638.5,2.625,37.25,59.625
1900,Georgia,2014,1,1,H,Clemson,SEC,ACC,7.414999999999995,4.649999999999997,1710.875,1.875,34.75,51.5,8.177500000000006,4.0075,1646.625,2.5,33.75,60.875
1901,Florida State,2014,4,1,H,Clemson,ACC,ACC,8.673750000000002,5.14,1664.0,1.75,46.75,50.875,8.408750000000005,3.7762500000000006,1676.875,2.375,32.875,60.125
1902,North Carolina,2014,5,0,A,Clemson,ACC,ACC,6.969999999999999,4.1499999999999995,1579.125,1.25,34.625,76.125,9.242500000000005,3.6625000000000005,1748.0,2.0,37.375,50.5
1903,NC State,2014,6,0,A,Clemson,ACC,ACC,6.5725000000000025,3.59625,1876.0,1.75,24.875,39.625,9.428750000000006,3.710000000000001,1758.5,1.625,37.5,59.625
1904,Louisville,2014,7,0,A,Clemson,ACC,ACC,7.4150000000000045,2.9412499999999997,1981.125,2.0,27.625,63.875,8.723750000000006,3.482500000000001,1754.0,1.75,33.0,58.25
1905,Boston College,2014,8,0,H,Clemson,ACC,ACC,6.703749999999997,5.093750000000001,1922.375,1.25,25.125,42.375,7.902500000000007,3.318750000000001,1801.875,1.625,28.25,53.875
1906,Syracuse,2014,9,0,A,Clemson,ACC,ACC,6.068749999999998,4.673749999999999,1691.75,1.5,19.75,59.0,7.643750000000007,3.203750000000001,1899.75,1.375,28.125,49.25
1907,Wake Forest,2014,11,0,H,Clemson,ACC,ACC,4.993749999999998,0.6262500000000021,1635.625,1.75,14.375,50.5,7.301250000000007,3.0062500000000014,1937.125,1.375,27.375,40.625
1908,Georgia Tech,2014,12,1,H,Clemson,ACC,ACC,9.552499999999998,6.011249999999998,2069.5,1.375,37.25,43.375,6.901250000000007,3.2387500000000014,1899.0,1.625,25.5,38.25
1909,Georgia State,2014,13,0,A,Clemson,Sun Belt,ACC,7.17,2.955,1796.625,2.25,21.5,42.75,6.302500000000007,3.530000000000001,1878.125,1.75,26.875,39.625
1910,South Carolina,2014,14,0,A,Clemson,SEC,ACC,7.69375,4.376250000000001,1890.375,1.875,32.5,42.75,6.488750000000008,3.9725000000000015,1837.125,1.75,25.0,42.75
1911,Oklahoma,2014,17,0,N,Clemson,Big 12,ACC,5.743750000000004,6.142500000000001,1831.75,2.125,32.625,44.75,6.453750000000007,3.6100000000000017,1820.125,1.75,24.875,32.375
1912,Louisville,2015,3,0,H,Clemson,ACC,ACC,8.215000000000007,3.2849999999999993,1832.75,2.375,28.75,43.375,6.778750000000008,3.9600000000000017,1840.25,1.75,24.5,37.25
1913,Notre Dame,2015,5,0,A,Clemson,Independent,ACC,8.626250000000006,5.436250000000003,1777.25,1.25,32.375,42.5,6.555000000000007,4.148750000000002,1826.125,1.875,25.375,39.0
1914,Georgia Tech,2015,6,0,A,Clemson,ACC,ACC,8.51125,4.993749999999999,2074.5,1.375,34.5,29.625,7.081250000000007,4.332500000000002,1793.875,1.75,28.75,42.75
1915,Boston College,2015,7,0,A,Clemson,ACC,ACC,5.6737499999999965,4.070000000000001,1982.625,1.125,14.5,53.875,7.492500000000008,4.231250000000002,1793.625,1.75,28.75,39.0
1916,Miami FL,2015,8,0,H,Clemson,ACC,ACC,7.456250000000004,3.5287500000000014,1796.375,0.75,25.125,70.875,7.878750000000007,4.567500000000003,1861.125,1.5,35.25,40.0
1917,NC State,2015,9,0,H,Clemson,ACC,ACC,7.0950000000000015,5.272500000000001,1955.375,0.625,34.0,50.25,8.915000000000006,4.560000000000002,1892.375,1.375,38.75,39.875
1918,Florida State,2015,10,0,A,Clemson,ACC,ACC,7.248749999999998,5.262500000000002,1782.5,0.375,27.0,60.125,8.195000000000006,4.496250000000002,1916.25,1.25,37.25,38.375
1919,Syracuse,2015,11,0,H,Clemson,ACC,ACC,6.0174999999999965,4.508749999999999,1698.25,1.625,25.125,47.375,8.075000000000005,5.003750000000002,1915.5,1.625,36.875,44.5
1920,Wake Forest,2015,12,0,A,Clemson,ACC,ACC,5.546249999999999,2.497500000000002,1877.75,1.875,14.125,47.875,8.437500000000005,4.881250000000002,1919.0,1.875,38.5,44.875
1921,South Carolina,2015,13,0,H,Clemson,SEC,ACC,7.3062499999999995,3.9337500000000007,1649.5,1.625,22.75,33.375,9.177500000000006,4.9162500000000025,1924.375,2.125,40.125,40.0
1922,North Carolina,2015,14,0,N,Clemson,ACC,ACC,9.437499999999995,5.735,1537.625,1.5,42.375,52.875,8.765000000000004,5.012500000000003,1986.875,1.875,40.375,44.375
1923,Alabama,2015,17,1,N,Clemson,SEC,ACC,8.182500000000003,4.755000000000003,2102.125,0.625,32.75,55.25,8.592500000000005,5.101250000000003,1967.25,1.75,41.125,42.125
1924,Oklahoma,2015,17,0,N,Clemson,Big 12,ACC,8.89,5.69,1889.0,1.125,47.625,47.375,8.688750000000004,4.948750000000003,1977.625,1.75,38.5,43.5
1925,Auburn,2016,1,0,H,Clemson,SEC,ACC,7.27125,4.108749999999998,1705.5,1.375,27.125,51.625,8.003750000000005,4.777500000000003,1950.75,1.875,33.875,45.5
1926,Troy,2016,2,0,A,Clemson,Sun Belt,ACC,7.458749999999996,4.161250000000002,1584.0,1.75,32.0,65.625,7.8287500000000065,4.613750000000004,1911.875,2.25,34.75,50.375
1927,Georgia Tech,2016,4,0,H,Clemson,ACC,ACC,7.054999999999998,4.354999999999999,1781.5,2.125,19.25,28.125,7.662500000000007,4.411250000000004,1906.625,2.0,33.375,51.75
1928,Louisville,2016,5,0,A,Clemson,ACC,ACC,9.21625000000001,6.349999999999999,1783.875,2.125,48.625,79.75,7.705000000000007,4.712500000000005,1842.625,2.125,34.5,52.375
1929,Boston College,2016,6,0,H,Clemson,ACC,ACC,5.587499999999997,3.536250000000002,1918.5,2.125,15.75,60.75,7.783750000000007,4.902500000000005,1776.0,1.875,36.875,54.0
1930,NC State,2016,7,0,A,Clemson,ACC,ACC,7.10625,4.88875,1943.625,1.375,30.375,72.75,7.832500000000006,4.565000000000005,1703.25,2.25,34.25,49.0
1931,Florida State,2016,9,0,H,Clemson,ACC,ACC,8.2025,4.2912500000000025,2038.625,1.75,31.25,84.625,7.853750000000006,4.525000000000005,1729.875,2.375,33.875,56.125
1932,Syracuse,2016,10,0,A,Clemson,ACC,ACC,7.421249999999995,3.3012499999999987,1756.75,1.75,22.5,62.75,8.158750000000005,4.406250000000004,1708.875,2.25,36.0,54.875
1933,Pittsburgh,2016,11,1,A,Clemson,ACC,ACC,8.954999999999988,5.025000000000002,1935.25,1.0,38.25,44.875,8.283750000000003,4.2275000000000045,1735.5,2.375,38.875,60.625
1934,Wake Forest,2016,12,0,H,Clemson,ACC,ACC,6.268749999999998,3.2487500000000016,1836.0,1.25,18.5,33.625,8.360000000000003,4.507500000000004,1773.125,2.125,39.5,55.875
1935,South Carolina,2016,13,0,A,Clemson,SEC,ACC,6.8737499999999985,3.0987500000000017,1820.75,1.25,18.0,45.0,8.897500000000003,4.578750000000004,1792.875,2.125,43.25,55.25
1936,Virginia Tech,2016,14,0,N,Clemson,ACC,ACC,8.417500000000002,4.1425,1785.75,1.5,32.25,45.625,8.722500000000002,4.323750000000004,1863.0,1.625,43.25,55.75
1937,Ohio State,2016,17,0,N,Clemson,Big 10,ACC,6.1512500000000045,4.732499999999998,1885.375,0.875,30.75,37.875,8.247500000000002,4.040000000000004,1967.875,1.75,40.125,61.0
1938,Alabama,2016,18,0,N,Clemson,SEC,ACC,6.43875,5.987500000000003,1875.25,1.25,35.25,42.0,8.260000000000003,3.936250000000004,2009.125,1.5,41.5,60.375
1939,Kent State,2017,1,0,A,Clemson,MAC,ACC,5.123749999999999,4.46875,1667.0,0.75,18.375,44.875,8.275000000000002,4.525000000000004,1963.25,1.375,43.875,55.5
1940,Auburn,2017,2,0,A,Clemson,SEC,ACC,6.158750000000006,4.937499999999998,1610.25,0.875,25.5,37.0,7.865000000000002,4.305000000000004,1926.75,1.625,38.875,59.25
1941,Louisville,2017,3,0,H,Clemson,ACC,ACC,7.971250000000005,5.189999999999999,1695.0,2.25,30.75,59.875,8.026250000000001,4.828750000000004,1938.0,1.25,39.5,50.375
1942,Boston College,2017,4,0,A,Clemson,ACC,ACC,5.288749999999995,3.1187500000000026,1854.0,1.625,18.75,44.75,7.933750000000001,4.810000000000004,1962.375,1.375,39.375,47.5
1943,Virginia Tech,2017,5,0,H,Clemson,ACC,ACC,8.983750000000004,4.437500000000001,1953.25,1.375,38.75,54.625,7.712500000000001,4.6562500000000036,1936.125,1.25,36.25,40.625
1944,Wake Forest,2017,6,0,A,Clemson,ACC,ACC,7.438749999999998,3.495000000000002,1727.5,0.875,24.25,49.875,7.455000000000002,4.596250000000004,1960.25,1.375,34.5,42.375
1945,Syracuse,2017,7,1,H,Clemson,ACC,ACC,6.763749999999995,3.3437499999999982,1853.25,1.375,30.5,70.0,7.357500000000002,4.627500000000005,1879.875,1.125,33.625,49.75
1946,Georgia Tech,2017,9,0,A,Clemson,ACC,ACC,7.9475,5.596249999999998,2027.625,1.5,30.25,32.5,7.2200000000000015,4.970000000000004,1853.75,1.0,32.25,51.0
1947,NC State,2017,10,0,H,Clemson,ACC,ACC,7.706249999999999,4.04375,1903.5,0.75,30.5,54.375,6.735000000000001,4.743750000000004,1840.875,1.0,30.0,48.25
1948,Florida State,2017,11,0,A,Clemson,ACC,ACC,7.195000000000002,3.831250000000001,1816.25,1.875,19.5,59.875,6.6175000000000015,4.956250000000003,1905.25,1.0,32.125,50.75
1949,South Carolina,2017,13,0,H,Clemson,SEC,ACC,6.037499999999994,3.850000000000002,1723.375,1.375,22.375,34.5,6.357500000000002,4.693750000000003,1904.5,1.25,30.5,50.125
1950,Miami FL,2017,14,0,N,Clemson,ACC,ACC,6.977500000000001,4.145000000000006,1673.0,1.5,25.75,42.5,6.618750000000001,4.191250000000004,1898.25,1.125,31.0,50.5
1951,Alabama,2017,17,1,N,Clemson,SEC,ACC,8.412499999999998,5.283750000000001,1744.125,0.875,34.0,46.625,5.9300000000000015,4.008750000000004,1876.375,1.375,27.875,51.625
1952,Texas A&M,2018,2,0,H,Clemson,SEC,ACC,8.063749999999999,2.9037500000000005,1628.5,1.75,30.625,48.875,6.508750000000001,3.962500000000003,1809.25,1.125,27.875,47.875
1953,Georgia Southern,2018,3,0,A,Clemson,Sun Belt,ACC,8.198750000000002,4.143750000000002,2096.0,1.0,22.875,37.125,6.865000000000001,4.2375000000000025,1832.375,1.5,29.625,41.125
